微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JBBT4E4O3,为了少坐一站地铁，我走到下一站！——万恶的万花筒  ,,无,无,无,2021-01-04 13:33,微博 weibo.com,1478,5,78
JBBK9gaZS,现在的人真矫情，只用两条腿上山非得说是爬山 ——穿越→菊花  ,,无,无,无,2021-01-04 13:11,微博 weibo.com,975,6,35
JBBuJ4Dz2,女娲娘娘像算不算手办 ——半灵-妖梦  ,,无,无,无,2021-01-04 12:33,微博 weibo.com,675,9,36
JBB6n4yAu,李华的英语试卷因出现个人信息而作废 ——浅梦惊幽  ,,无,无,无,2021-01-04 11:33,微博 weibo.com,1773,20,43
JBAXrkqnG,建国以后不准成精，医生对着小明的睾丸说——0青菜豆腐乳0  ,,无,无,无,2021-01-04 11:11,微博 weibo.com,831,9,40
JBAI19YIi,作为一个热力学家，硬盘里有东京热之类的研究资料不是很正常吗——每天抬头见喜  ,,无,无,无,2021-01-04 10:33,微博 weibo.com,1232,26,58
JBAjF6BoX,哪吒闹海讲了一个来龙去脉的故事——@来龙去脉的小哪吒  ,,无,无,无,2021-01-04 09:33,微博 weibo.com,2609,318,52
JBzVjd7u1,鲸鱼经过多年研究，得出人是船的幼崽这一划时代的结论 ——混沌风暴  ,,无,无,无,2021-01-04 08:33,微博 weibo.com,2227,71,48
JBzwXd2p1,吃螺丝粉需不需要用螺丝刀？ ——半灵-妖梦  ,,无,无,无,2021-01-04 07:33,微博 weibo.com,1144,6,58
JBwC76i43,#弱智吧奇怪合集# 8.我有点丧……  原图 ,,http://wx1.sinaimg.cn/large/006gMemDgy1gmayfbpg2dj30ri39rgwx.jpg,无,无,2021-01-04 00:07,病床底下的Android,1876,506,106
JBwgDeP1F,狗：你为什么不找个主人呢？ 狼：你不懂自由！ 狗若有所思地离开了动物园。——洛离空  ,,无,无,无,2021-01-03 23:14,微博 weibo.com,3011,111,95
JBw5Q0THn,关羽脸红是不是敏感肌——@Ayleee01  ,,无,无,无,2021-01-03 22:48,病床底下的Android,1124,19,76
JBvXr2D9V,双胞胎哪里都很像，即使心情不好，也是emo一样。——@我双脚可以都离地  ,,无,无,无,2021-01-03 22:27,病床底下的Android,809,21,45
JBvNKyU2q,一个恐同的人要是下了地狱，那他的折磨是什么？——@9460730472580800m  ,,无,无,无,2021-01-03 22:03,病床底下的Android,4398,15,134
JBvvynG77,如果随份子那么看重面额，为什么不干脆随纸钱？——@9460730472580800m  ,,无,无,无,2021-01-03 21:18,病床底下的Android,990,2,40
JBuSvbmOo,人人都是干饭人，只有我是稀饭人，因为我水多——@银河浪漫流浪饼干  ,,无,无,无,2021-01-03 19:42,病床底下的Android,1593,27,116
JBuoCmLQs,为什么微信小程序里面没有微信的小程序？——@公羽之葉  ,,无,无,无,2021-01-03 18:28,病床底下的Android,1583,15,84
JBuhfCiK3,小孩子才做选择，成年人只做梦——@伯伦希尔首席清洁工  ,,无,无,无,2021-01-03 18:10,病床底下的Android,732,48,38
JBu25jMHB,为什么垃圾站要回收不可回收垃圾？——@乌鸦z坐飞机  ,,无,无,无,2021-01-03 17:33,病床底下的Android,1806,13,84
JBtVM3Oct,人吸进氧气呼出二氧化碳，说明人可以生产碳！——@惊鹊丶丶  ,,无,无,无,2021-01-03 17:17,病床底下的Android,1217,13,85
JBtIdELB7,大学生活要大学生死。——@西罗马有灭亡星  ,,无,无,无,2021-01-03 16:44,病床底下的Android,4223,1023,145
JBtvG1mtc,牛欢喜是真的牛逼——@H丶宇  ,,无,无,无,2021-01-03 16:13,病床底下的Android,989,18,56
JBtpI2U0e,制订了周密的学习计划，希望周密好好学习——@火火火火火火车  ,,无,无,无,2021-01-03 15:58,病床底下的Android,4864,314,282
JBtglodAT,如果全国人民每人给我一块钱，就能在不知不觉中完成全国人口普查——@文明观wa  ,,无,无,无,2021-01-03 15:35,病床底下的Android,2868,30,89
JBt6gaRZx,人的体重有70%都是水，那么报体重时是否应该减去水分——@文明观wa  ,,无,无,无,2021-01-03 15:10,病床底下的Android,1971,20,72
JBsP07Rph,受害人奄奄一息，幸亏王警官及时赶到成功补刀获得金币。 ——@来龙去脉的小哪吒  ,,无,无,无,2021-01-03 14:28,病床底下的Android,622,6,36
JBsCfoDRn,南方人在冬天洗澡时冷得就像没穿衣服一样——@波纹泡泡YELU  ,,无,无,无,2021-01-03 13:56,病床底下的Android,1316,10,51
JBsuseJIT,世界以痛吻我，我却报之以仇。——@健力贝  ,,无,无,无,2021-01-03 13:37,病床底下的Android,1372,14,79
JBr3kh6M1,医生叹了口气走出手术室，对家属摇了摇头说:“我脖子好酸。”——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-03 09:58,病床底下的Android,4365,177,107
JBqZnjj5y,人固有一死 或重于泰山 或轻于泰山 或等于泰山——@狗大哭  ,,无,无,无,2021-01-03 09:48,病床底下的Android,3883,88,172
JBqLjA1ub,怎样辨别0和1? 1窍不通。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-03 09:13,病床底下的Android,936,15,58
JBnwfFELr,今天是我的生日01月03日，来祝福我吧~  ,,无,无,无,2021-01-03 00:58,生日动态,245,3,161
JBmXAhi31,“今天给大伙熬了锅鸡汤。”食人族厨师从青楼回来说。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-02 23:32,病床底下的Android,1422,16,63
JBmujpPq6,我怀疑'锥刺股'可能是古人在那啥。 ——@肉肉lin  ,,无,无,无,2021-01-02 22:20,病床底下的Android,1646,9,87
JBmkh3d1t,“这个比较聪明。”“聪明就聪明，你干嘛骂人家呀？” ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-02 21:56,病床底下的Android,1278,9,59
JBmaUF1KJ,文字太苍白，描述不出雪的颜色——旭月东  ,,无,无,无,2021-01-02 21:33,微博 weibo.com,2117,94,80
JBlMz2iRY,王警官用卸妆水清掉了敌人的眼线——GrandpaFranka  ,,无,无,无,2021-01-02 20:33,微博 weibo.com,2527,122,77
JBlHo6SL4,没带钥匙的一家人，也进不了一家门 ——@抽了风的常疯  ,,无,无,无,2021-01-02 20:20,病床底下的Android,694,6,39
JBkMv8nBA,醉驾在古代是按照人喝醉算还是马喝醉算呢？——@雲升月墨   ,,无,无,无,2021-01-02 18:00,病床底下的Android,1378,9,82
JBkd9cXFf,明知山有虎 不去明知山——@一个朋克魔法师  ,,无,无,无,2021-01-02 16:33,微博 weibo.com,4795,308,177
JBjStiUEI,后来他终于如愿去了大厂，当了太监 ——@柒踪  ,,无,无,无,2021-01-02 15:42,病床底下的Android,1130,28,47
JBjONgbfR,把光纤插在我们家的猫身上，为什么还是没有网呢 ——恩人救我  ,,无,无,无,2021-01-02 15:33,微博 weibo.com,975,9,81
JBjGgi8qp,我连普通发都说不好，怎么会是个普通人呢？——@狂舞的金牛  ,,无,无,无,2021-01-02 15:12,病床底下的Android,879,5,46
JBjqrhcNj,"白色是颜值最高的颜色，它的颜值是255,255,255。——@丧失股长  ",,无,无,无,2021-01-02 14:33,微博 weibo.com,2713,597,90
JBj3ll1J9,脑子进水是在想女人的另一种说法。 ——@737三  ,,无,无,无,2021-01-02 13:36,病床底下的Android,859,22,51
JBj25jkcR,总是忍不住咬手指甲怎么办？专家一语道破 只要把不和住两字换下位置，立刻忍住不咬手指甲！——机智的赵高  ,,无,无,无,2021-01-02 13:33,微博 weibo.com,2754,249,92
JBiXoxmRZ,如果在漏勺下面垫一个勺子不就不会漏了吗？ ——@残缺断线重连  ,,无,无,无,2021-01-02 13:21,病床底下的Android,930,7,65
JBiDJlrVc,美杜莎严格遵守眼见为石的准则 ——@POWEHI1015  ,,无,无,无,2021-01-02 12:33,微博 weibo.com,1033,11,42
JBijUprWu,整容又叫刀削面 ——@无业游民王小驼  ,,无,无,无,2021-01-02 11:44,病床底下的Android,1192,24,76
JBifnlnFE,小明冬天舔铁门舌头被粘住，小红读了一条热门新闻将其解救——GrandpaFranka  ,,无,无,无,2021-01-02 11:33,微博 weibo.com,2687,85,91
微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Jz3n1eYOR,[置顶]2020年#弱智吧年度精选#  [组图共18张] 原图 ,,"http://ww2.sinaimg.cn/large/006gMemDgy1gls5vg82o4j30ri38n14v.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vhv358j30ri3ocdve.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vj4djmj30ri38n152.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vkesnqj30ri36samd.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5vlk5j2j30ri3dvn82.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vn25alj30ri3jhtmq.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vo077gj30ri29kjzu.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vpevjyj30ri2iwn7i.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5vqrnzhj30ri2f512h.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vt8ksyj30ri2i5wo6.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vueumfj30ri2f5k11.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5vvr4jnj30ri2bf7cq.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5wej2lbj30ri2h0k1n.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5wfpxhkj30ri2f5n79.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5wgkw0oj30ri2j9dpj.jpg,http://ww4.sinaimg.cn/large/006gMemDgy1gls5whn0z5j30ri2i5gvm.jpg,http://ww3.sinaimg.cn/large/006gMemDgy1gls5winkz0j30ri2heajy.jpg,http://ww2.sinaimg.cn/large/006gMemDgy1gls5wjokiuj30ri2dak13.jpg",无,无,2020-12-18 18:00,病床底下的Android,16476,16021,2370
JBLHVwiSK,由于不满出场bgm，腹中胎儿决定不配合医生接生。——@来龙去脉的小哪吒  ,,无,无,无,2021-01-05 14:32,微博 weibo.com,413,1,42
JBLjzv9yh,十六岁少女自称年方二八，是装嫩还是装熟？——@夜之城第一赛博巴图鲁  ,,无,无,无,2021-01-05 13:33,微博 weibo.com,932,5,56
JBL8Y3arr,为了不留下遗憾 我带着遗憾离开了那个地方——@吴洋哇  ,,无,无,无,2021-01-05 13:06,病床底下的Android,1111,61,71
JBKVdzrJ0,自从知道枪打出头鸟以后，我出门都会穿上裤子。 ——阿拉伯安图  ,,无,无,无,2021-01-05 12:33,微博 weibo.com,561,3,48
JBKO2ihyK,夫妻本是同林鸟，大难临头各自冷静一个月再飞。——@WithMeNow  ,,无,无,无,2021-01-05 12:15,微博 weibo.com,1340,51,41
JBKF1gg1k,黄宏：80！80！80！范冰冰：80？什么是80！ ——@守护最好的谐音梗  ,,无,无,无,2021-01-05 11:53,微博 weibo.com,966,17,105
JBKwRCFc4,我种的向日葵快死了，请问去医院看哪个科？ ——绫o零  ,,无,无,无,2021-01-05 11:33,微博 weibo.com,936,6,75
JBKnik9z4,读一本好书，就会读很多的字。——@来龙去脉的小哪吒  ,,无,无,无,2021-01-05 11:09,微博 weibo.com,537,4,64
JBKir9pN3,把体温计摔碎，里面就是你的体温。——躲在黑夜的殺手  ,,无,无,无,2021-01-05 10:57,微博 weibo.com,853,19,65
JBJYzdSjv,月亮说：我又熬了一个通宵。——@Vinta__  ,,无,无,无,2021-01-05 10:08,病床底下的Android,416,9,53
JBFOCm9Sv,武松喝了十八碗酒打死了一只老虎，如果有两个武松是不是就可以打死两只老虎了？——@来龙去脉的小哪吒  ,,无,无,无,2021-01-04 23:33,微博 weibo.com,4776,208,183
JBFqgnbYf,小王同学在考研吧已经当上了吧主，可他还没有考上研究生 ——阿鲁巴巴11  ,,无,无,无,2021-01-04 22:33,微博 weibo.com,4139,42,114
JBF1UsBzh,手工达人小王发明的文字识别机器总是将“纹”字认成“别”字。原来小王发明的是一台指纹识别机。——Alatie  ,,无,无,无,2021-01-04 21:33,微博 weibo.com,909,40,73
JBESYE4jY,在法医王老汉的酷刑之下，尸体终于交代了自杀的全过程 ——混沌风暴  ,,无,无,无,2021-01-04 21:11,微博 weibo.com,746,11,39
JBEDyswmN,专家称经常拉屎有助于排便 ——末将hz  ,,无,无,无,2021-01-04 20:33,微博 weibo.com,751,21,80
JBEfcvKh3,市三中派人除掉了二中于是他们变成了1.5中——1sdw1sdw  ,,无,无,无,2021-01-04 19:33,微博 weibo.com,1183,27,91
JBE5g9fKU,冬天手脚冰凉穿了很厚的衣服袜子手套都没用，你们的尸体也这样吗？——@天空之城在Gucci  ,,无,无,无,2021-01-04 19:08,病床底下的Android,824,10,35
JBDQQuBiK,十年树木，百年树人，九十年树负十——@炸过的花椒实在是太难吃了  ,,无,无,无,2021-01-04 18:33,微博 weibo.com,833,24,58
JBDsuzZ6u,“一日为师，终身为父！”，被叫家长的小明拿着AV光盘如是说道。——工藤不爱服部  ,,无,无,无,2021-01-04 17:33,微博 weibo.com,771,5,56
JBD49eQrL,“老虎”的“虎”怎么写？“众”——基里科夫斯基  ,,无,无,无,2021-01-04 16:33,微博 weibo.com,1777,33,94
JBCFMC1Ho,猎人猎的是动物，为什么不叫猎物？ ——妖妖客  ,,无,无,无,2021-01-04 15:33,微博 weibo.com,998,12,72
JBChqBYtF,歹徒被抓后，背部瘙痒的症状得到明显缓解——@一只筐  ,,无,无,无,2021-01-04 14:33,微博 weibo.com,1050,15,51
JBBT4E4O3,为了少坐一站地铁，我走到下一站！——万恶的万花筒  ,,无,无,无,2021-01-04 13:33,微博 weibo.com,1478,5,78
JBBK9gaZS,现在的人真矫情，只用两条腿上山非得说是爬山 ——穿越→菊花  ,,无,无,无,2021-01-04 13:11,微博 weibo.com,975,6,35
JBBuJ4Dz2,女娲娘娘像算不算手办 ——半灵-妖梦  ,,无,无,无,2021-01-04 12:33,微博 weibo.com,675,9,36
JBB6n4yAu,李华的英语试卷因出现个人信息而作废 ——浅梦惊幽  ,,无,无,无,2021-01-04 11:33,微博 weibo.com,1773,20,43
JBAXrkqnG,建国以后不准成精，医生对着小明的睾丸说——0青菜豆腐乳0  ,,无,无,无,2021-01-04 11:11,微博 weibo.com,831,9,40
JBAI19YIi,作为一个热力学家，硬盘里有东京热之类的研究资料不是很正常吗——每天抬头见喜  ,,无,无,无,2021-01-04 10:33,微博 weibo.com,1232,26,58
JBAjF6BoX,哪吒闹海讲了一个来龙去脉的故事——@来龙去脉的小哪吒  ,,无,无,无,2021-01-04 09:33,微博 weibo.com,2609,318,52
JBzVjd7u1,鲸鱼经过多年研究，得出人是船的幼崽这一划时代的结论 ——混沌风暴  ,,无,无,无,2021-01-04 08:33,微博 weibo.com,2227,71,48
JBzwXd2p1,吃螺丝粉需不需要用螺丝刀？ ——半灵-妖梦  ,,无,无,无,2021-01-04 07:33,微博 weibo.com,1144,6,58
JBwC76i43,#弱智吧奇怪合集# 8.我有点丧……  原图 ,,http://wx1.sinaimg.cn/large/006gMemDgy1gmayfbpg2dj30ri39rgwx.jpg,无,无,2021-01-04 00:07,病床底下的Android,1876,506,106
JBwgDeP1F,狗：你为什么不找个主人呢？ 狼：你不懂自由！ 狗若有所思地离开了动物园。——洛离空  ,,无,无,无,2021-01-03 23:14,微博 weibo.com,3011,111,95
JBw5Q0THn,关羽脸红是不是敏感肌——@Ayleee01  ,,无,无,无,2021-01-03 22:48,病床底下的Android,1124,19,76
JBvXr2D9V,双胞胎哪里都很像，即使心情不好，也是emo一样。——@我双脚可以都离地  ,,无,无,无,2021-01-03 22:27,病床底下的Android,809,21,45
JBvNKyU2q,一个恐同的人要是下了地狱，那他的折磨是什么？——@9460730472580800m  ,,无,无,无,2021-01-03 22:03,病床底下的Android,4399,15,134
JBvvynG77,如果随份子那么看重面额，为什么不干脆随纸钱？——@9460730472580800m  ,,无,无,无,2021-01-03 21:18,病床底下的Android,990,2,40
JBuSvbmOo,人人都是干饭人，只有我是稀饭人，因为我水多——@银河浪漫流浪饼干  ,,无,无,无,2021-01-03 19:42,病床底下的Android,1595,27,116
JBuoCmLQs,为什么微信小程序里面没有微信的小程序？——@公羽之葉  ,,无,无,无,2021-01-03 18:28,病床底下的Android,1583,15,84
JBuhfCiK3,小孩子才做选择，成年人只做梦——@伯伦希尔首席清洁工  ,,无,无,无,2021-01-03 18:10,病床底下的Android,732,48,38
JBu25jMHB,为什么垃圾站要回收不可回收垃圾？——@乌鸦z坐飞机  ,,无,无,无,2021-01-03 17:33,病床底下的Android,1806,13,84
JBtVM3Oct,人吸进氧气呼出二氧化碳，说明人可以生产碳！——@惊鹊丶丶  ,,无,无,无,2021-01-03 17:17,病床底下的Android,1217,13,85
JBtIdELB7,大学生活要大学生死。——@西罗马有灭亡星  ,,无,无,无,2021-01-03 16:44,病床底下的Android,4223,1023,145
JBtvG1mtc,牛欢喜是真的牛逼——@H丶宇  ,,无,无,无,2021-01-03 16:13,病床底下的Android,989,18,56
JBtpI2U0e,制订了周密的学习计划，希望周密好好学习——@火火火火火火车  ,,无,无,无,2021-01-03 15:58,病床底下的Android,4864,314,282
JBtglodAT,如果全国人民每人给我一块钱，就能在不知不觉中完成全国人口普查——@文明观wa  ,,无,无,无,2021-01-03 15:35,病床底下的Android,2868,30,89
JBt6gaRZx,人的体重有70%都是水，那么报体重时是否应该减去水分——@文明观wa  ,,无,无,无,2021-01-03 15:10,病床底下的Android,1971,20,72
JBsP07Rph,受害人奄奄一息，幸亏王警官及时赶到成功补刀获得金币。 ——@来龙去脉的小哪吒  ,,无,无,无,2021-01-03 14:28,病床底下的Android,622,6,36
JBsCfoDRn,南方人在冬天洗澡时冷得就像没穿衣服一样——@波纹泡泡YELU  ,,无,无,无,2021-01-03 13:56,病床底下的Android,1316,10,51
JBsuseJIT,世界以痛吻我，我却报之以仇。——@健力贝  ,,无,无,无,2021-01-03 13:37,病床底下的Android,1372,14,79
JBr3kh6M1,医生叹了口气走出手术室，对家属摇了摇头说:“我脖子好酸。”——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-03 09:58,病床底下的Android,4365,177,107
JBqZnjj5y,人固有一死 或重于泰山 或轻于泰山 或等于泰山——@狗大哭  ,,无,无,无,2021-01-03 09:48,病床底下的Android,3883,88,172
JBqLjA1ub,怎样辨别0和1? 1窍不通。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-03 09:13,病床底下的Android,936,15,58
JBnwfFELr,今天是我的生日01月03日，来祝福我吧~  ,,无,无,无,2021-01-03 00:58,生日动态,245,3,161
JBmXAhi31,“今天给大伙熬了锅鸡汤。”食人族厨师从青楼回来说。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-02 23:32,病床底下的Android,1422,16,63
JBmujpPq6,我怀疑'锥刺股'可能是古人在那啥。 ——@肉肉lin  ,,无,无,无,2021-01-02 22:20,病床底下的Android,1646,9,87
JBmkh3d1t,“这个比较聪明。”“聪明就聪明，你干嘛骂人家呀？” ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-01-02 21:56,病床底下的Android,1278,9,59
JBmaUF1KJ,文字太苍白，描述不出雪的颜色——旭月东  ,,无,无,无,2021-01-02 21:33,微博 weibo.com,2117,94,80
JBlMz2iRY,王警官用卸妆水清掉了敌人的眼线——GrandpaFranka  ,,无,无,无,2021-01-02 20:33,微博 weibo.com,2527,122,77
JBlHo6SL4,没带钥匙的一家人，也进不了一家门 ——@抽了风的常疯  ,,无,无,无,2021-01-02 20:20,病床底下的Android,694,6,39
JBkMv8nBA,醉驾在古代是按照人喝醉算还是马喝醉算呢？——@雲升月墨   ,,无,无,无,2021-01-02 18:00,病床底下的Android,1378,9,82
JBkd9cXFf,明知山有虎 不去明知山——@一个朋克魔法师  ,,无,无,无,2021-01-02 16:33,微博 weibo.com,4795,308,177
JBjStiUEI,后来他终于如愿去了大厂，当了太监 ——@柒踪  ,,无,无,无,2021-01-02 15:42,病床底下的Android,1130,28,47
JBjONgbfR,把光纤插在我们家的猫身上，为什么还是没有网呢 ——恩人救我  ,,无,无,无,2021-01-02 15:33,微博 weibo.com,975,9,81
JBjGgi8qp,我连普通发都说不好，怎么会是个普通人呢？——@狂舞的金牛  ,,无,无,无,2021-01-02 15:12,病床底下的Android,879,5,46
JBjqrhcNj,"白色是颜值最高的颜色，它的颜值是255,255,255。——@丧失股长  ",,无,无,无,2021-01-02 14:33,微博 weibo.com,2713,597,90
JBj3ll1J9,脑子进水是在想女人的另一种说法。 ——@737三  ,,无,无,无,2021-01-02 13:36,病床底下的Android,859,22,51
JBj25jkcR,总是忍不住咬手指甲怎么办？专家一语道破 只要把不和住两字换下位置，立刻忍住不咬手指甲！——机智的赵高  ,,无,无,无,2021-01-02 13:33,微博 weibo.com,2754,249,92
JBiXoxmRZ,如果在漏勺下面垫一个勺子不就不会漏了吗？ ——@残缺断线重连  ,,无,无,无,2021-01-02 13:21,病床底下的Android,930,7,65
JBiDJlrVc,美杜莎严格遵守眼见为石的准则 ——@POWEHI1015  ,,无,无,无,2021-01-02 12:33,微博 weibo.com,1033,11,42
JBijUprWu,整容又叫刀削面 ——@无业游民王小驼  ,,无,无,无,2021-01-02 11:44,病床底下的Android,1192,24,76
JBifnlnFE,小明冬天舔铁门舌头被粘住，小红读了一条热门新闻将其解救——GrandpaFranka  ,,无,无,无,2021-01-02 11:33,微博 weibo.com,2687,85,91
JBi7gcuQc,为救出地震被困人员，救援队开始疯狂钻石——KickTheirAssYa  ,,无,无,无,2021-01-02 11:13,微博 weibo.com,1122,42,46
JBhR1oALn,“此人吸进去的是冷气，呼出来的却是热气，由此可推断，他其实是一个空调精”王警官自信地说。——@737三  ,,无,无,无,2021-01-02 10:33,微博 weibo.com,925,11,59
JBhIUdvSs,卡布达拉屎的时候不小心超级变换形态了。——@来龙去脉的小哪吒  ,,无,无,无,2021-01-02 10:13,微博 weibo.com,481,9,34
JBhsFrOce,医生护士检查违禁物品时，你们把大脑藏在哪里的 ——柛  ,,无,无,无,2021-01-02 09:33,微博 weibo.com,1043,26,76
